boarded,budget,memberCount,preferredClass,sex,age
0,2201,0,1,0,2
0,1775,3,1,1,0
1,1775,3,1,0,0
1,1775,3,1,1,3
1,1775,3,1,0,2
0,852,0,1,1,4
0,1207,1,1,0,6
1,710,0,1,1,3
0,1065,2,1,0,5
1,994,0,1,1,7
1,2272,1,1,1,4
0,2272,1,1,0,1
0,1136,0,1,0,2
0,1207,0,1,0,2
0,923,0,1,1,8
1,852,0,1,1,0
1,2414,1,1,1,2
0,2414,1,1,0,5
0,1207,0,1,0,3
1,1207,0,1,1,3
0,1065,2,1,1,3
0,1065,2,1,0,4
0,923,0,1,1,2
0,2272,0,1,0,4
0,2272,0,1,0,2
1,852,0,1,1,2
0,1349,1,1,1,2
0,1349,1,1,0,1
0,1633,0,1,0,3
0,852,0,1,1,2
1,923,0,1,1,4
0,923,0,1,1,4
0,1846,0,1,0,3
0,852,0,1,0,5
1,852,0,1,1,4
0,2556,0,1,0,4
0,1065,1,1,0,2
0,852,0,1,1,0
1,923,0,1,1,4
1,1065,0,1,1,4
1,923,0,1,1,0
0,852,0,1,0,4
0,1065,2,1,0,5
0,1207,0,1,0,6
0,1633,0,1,0,4
1,852,0,1,1,4
1,923,0,1,1,0
0,852,0,1,1,4
0,852,0,1,0,5
0,4331,1,1,1,3
0,4331,1,1,0,5
1,710,0,1,1,3
1,994,0,1,1,2
1,994,0,1,1,1
0,1562,3,1,1,1
0,1562,3,1,0,1
0,1562,3,1,1,3
0,1562,3,1,0,3
1,852,0,1,1,4
0,852,0,1,0,0
1,1207,1,1,1,3
0,1207,1,1,0,7
1,1136,1,1,1,4
0,1136,1,1,0,4
0,1065,1,1,1,2
0,1065,1,1,0,3
0,2556,0,1,0,3
0,1278,0,1,0,3
0,852,0,1,1,4
0,1065,1,1,0,0
1,710,0,1,1,0
1,1633,1,1,1,2
0,1633,1,1,0,2
0,1775,0,1,0,2
1,1065,0,1,1,0
1,852,0,1,1,4
0,1278,2,1,0,3
1,1278,2,1,1,3
0,1278,2,1,0,6
0,852,2,1,0,5
1,852,0,1,1,0
1,1207,2,1,1,7
0,1207,2,1,0,3
0,852,2,1,0,6
1,1207,1,1,1,3
0,1207,1,1,0,3
0,852,0,1,1,5
0,923,0,1,1,2
0,1775,0,1,0,3
1,1065,1,1,1,3
0,1065,3,1,0,2
0,1065,1,1,1,3
0,1065,1,1,0,1
0,1278,2,1,1,5
0,1278,2,1,1,0
0,1278,2,1,0,5
1,1420,1,1,1,5
0,2414,2,1,0,2
0,1420,1,1,0,4
0,923,1,1,0,4
0,1065,1,1,1,4
1,852,0,1,1,3
0,1278,1,1,0,2
0,2272,0,1,0,3
0,1207,1,1,0,5
1,923,0,1,0,3
1,2272,0,1,1,0
0,923,0,1,0,0
0,1491,0,1,0,0
0,852,0,1,1,3
1,852,0,1,1,3
0,2556,5,1,0,2
0,2556,5,1,0,2
0,2556,5,1,0,2
1,2556,5,1,1,1
1,2556,5,1,1,6
0,2556,5,1,0,6
0,1065,0,1,0,3
1,852,0,1,1,0
0,1633,2,1,1,5
0,852,1,1,1,4
0,1633,1,1,0,0
0,994,2,1,0,2
0,1207,2,1,1,6
0,1207,2,1,0,4
1,710,0,1,1,0
1,1065,1,1,1,3
0,1065,1,1,0,3
1,923,0,1,1,4
0,2201,0,1,0,3
0,1065,1,1,0,2
0,1065,1,1,0,4
